Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Tesseract Outer Frame","","Outer structural frame based on a tesseract geometry for high-rigidity support of the matryoshka chambers.","mechanical","structural",1,45.00,45.00,"https://www.amazon.com/s?k=2020+aluminum+extrusion+400mm"
"Matryoshka Outer Shell","","Primary protective enclosure housing the vacuum and argon environments.","mechanical","3d_printed",1,15.50,15.50,"https://www.amazon.com/s?k=ABS+filament+1.75mm"
"Inner Thermal Chamber","","Secondary internal shell that holds the high-temperature refractory insulation.","mechanical","3d_printed",1,12.00,12.00,"https://www.amazon.com/s?k=carbon+fiber+petg+filament"
"Refractory Crucible","High Purity Alumina Crucible","Ceramic vessel for 50g pigment melt, capable of withstanding 1800C.","mechanical","mechanism",1,22.00,22.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x4g6z6QO53rvyHStoiwAE6ccRwIY5sFviByMHhitenbzaBzrxt28nBH2KuWtdlBbu0FFuzxX3K7HNpGZnlBwsHwyS0AKT5i4bT4MiTQcktkRKScqNXcie7PG28BRUqIt5e1iGT9auq1X2ckI549CK0VRsgvyBOSRM75hcaGYBC8mV3QAeJR40XwkiJSjbAdE045lwbmtnF2RYNIvPyoXRGOtWXl6C3fF7CZyfDlc3n0lIkhLoekRxABcD7aR8xMvQWz5ZtpgLxrrDL8Ks2HS4Cvy9b3r15e7k4dJtyzS4g0aSHTsU5C3hEtcm7mG9Y7kcJfulvRBn1Ct6ujFJe1lPWEz53cOaL5MI6lb3YU2fXOPpuvXniqNLLQVYyZGT0MHWz8d4Cl5OBYaK3mb3AwHbu7LKrjBrbhGlgUlTKR1dF2g85NvAw0mJPrXT4hxZgtL7xU38QEhZpieNpzYH1TLu4jR731sUB0LoecItm43dpQQDaSF7V7kZ7lBR8dZDqVfNMKMev3VJTut3TDNcC4dMJ4gNe8KuuaP4zGQ4e88vfMfZdCgD9Plogyidkeszk8odeSoedob95Lyphszx7va2pmbO59fewQBciSM3NWTnJX9lwcF3aJ606NR9YuI3n21SdUwpolfHU3976LW0QmObuF6aqDZohwJBYeESW7NWwLynFmA054QX"
"Mill Drive Base","","Main rotating platform for the planetary ball mill assembly.","mechanical","3d_printed",1,8.50,8.50,"https://www.amazon.com/s?k=PETG+filament"
"Logic Controller Mount","","Vibration-isolated mount for the main ESP32 and H-Bridge logic.","mechanical","3d_printed",1,2.50,2.50,"https://www.amazon.com/s?k=PLA+filament"
"Backcross Coil Housing","","Specific geometry to hold magnetic field coils in a folding singularity configuration.","mechanical","3d_printed",1,7.00,7.00,"https://www.amazon.com/s?k=ABS+filament"
"Gas Manifold Mount","","Support bracket for the argon shielding solenoid and tubing.","mechanical","3d_printed",1,3.20,3.20,"https://www.amazon.com/s?k=PETG+filament"
"HV Electrostatic Tower","","High-dielectric insulator for the electrostatic pigment sorting plates.","mechanical","3d_printed",1,6.50,6.50,"https://www.amazon.com/s?k=PETG+filament"
"Display Bezel","","External user interface panel for the status display.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=PLA+filament"
"Mill Transmission Gears","","Set of 3 nylon planetary gears for the ball mill motion.","mechanical","mechanism",3,12.00,36.00,"https://www.amazon.com/s?k=nylon+planetary+gears"
"Main Frame Bolts","M3 Socket Head Screws","Stainless steel screws for securing 3D printed mounts to the aluminum frame.","mechanical","misc",50,0.15,7.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxvwxYfcKO8oJEk51ZQQZRDk2F3yoX8GB0MixKlFBHcp5EY5RMaocSSEWvr5ej1GhiwUhADFhMkholZfZt92d3MOLPJ4VCMcCueJDoK7JaGWf0ElK3AyxAIFy6FVl07Wh7L6BPRbvKRuFmUjzYJfjxdPQta4JSutPwChFk53JtRxHN8JxUGQrCi0Yd0ieKuquias3PbWDGXeceUwtLjNpOf3XHXtOldIoxSG1fg2oegZzLQ6Yv2j220G4f8lonjVA7eXxw1Pk89cd0S1LHBHHaGM6q8bFR7HFXr29KLPjrOnIpH2BgDVmjBOb7MISoYCqQaCkdElVxqpCgqYIfeInqF7SMZ2gIwloBwYmnGUy4PeFHM1nNiS0hcupcsvycqCu3UzngsB2TGQpGJNaiSrXxYcl0pB1dezdGDEtZTFStX5vkhHBhfnIcGDg2nEcPSajISBPPb507wWbvHIZR8tfJTBb7M5jfLpW1w3z1kmjJY0If871E9JYnNXYTddguww0mJBa6PBACWYqXVVwuHYUOZmG7YJjMGY2owKWiopAIyV9nIMfRbgPmBjz8LvSVxRVn7j7fQcI8Qe32LULzWqKZp8VDVV75fmJhfgjNS9Dh8wiXeOGClfLpvFcB5VkuRGagNnXCa1ReukPNP7GFZamLYMT"
"Crucible Lift Rail","MGN12 Linear Rail","Precision rail for inserting and removing the crucible from the induction zone.","mechanical","mechanism",1,18.50,18.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxhDHwlWkpEa3yNfOmWmiaroZGpiayMp1gdvol3rHskxrXgDTdvbbhHiUbz5eLOOSxN2EeB48hLIgzfgzfMhFXC0bVFUwqQ1SvPRpNhptGu7EY9D7jWg3ytfVe2nxJBKab8mTAlrtIM5mhbojFn2UVXLMfraXmh2k5mtx9HsuURg6XsxBBkMZiJPRE0V00TLDpiKnHYtOobd2Qiw5jbEOOXfc109aDz0bvAIww0SFo3KRWej7IsgIn8ZhEZCp8JhSVglzvjtJFVBuEbytfEOt2ZFWulZRpDNd2lbQ6PQofj6bTH2GeB4Ny0NsxVumdiA8hMfJZkPd9vy8fcYRpOhMrdx1y4MkEBgzb3JbP2wdwwdgIcedDpWXLT35aNFHJgGj7dLtRvHeX763rItlrVN1bOwV9ReBVUxeeokgg9u30uVj1fIx71zMK0CI5FpT9NqNoKJcozdh5fRjkeekPInr1qfswnUqCkdXG4vhMPxHptgZKS9d8ewyUVh76mA5Pbcb9Y8uTYnRBucugiuUWiSThVmvfsU521ky5i5lSApnX49edOYrIPRlOax4mSeS5Cre7G2THVwePV8hVVm9P7XXTJfT7PcXT9nMyXJNVgOhZDTNouzPRRKTnRL44QqtrTqap5vHHZYa4MQbEUO3VBSx4VEb"
"Crucible Temperature Sensor Mount","","Form-fitting cradle for the Crucible Temperature Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Mill Motor Driver Mount","","Adapter plate for the Mill Motor Driver that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Power Distribution Block","Power Distribution Block","Central hub for regulating and distributing power rails.","electrical","module",1,0.00,0.00,""
"HV Control Relay","HV Control Relay","Logic-level relay to switch 12V supply to the HV generator.","electrical","module",1,0.00,0.00,""
"Particle Chronograph","DIY Laser Spectroscopy Chamber","Integrates laser excitation and interferometry to monitor and shift particle energetic states.","electrical","sensor",1,245.00,245.00,"https://www.thorlabs.com/"
"Ultrasonic Levitation Driver","Core Electronics Ultrasonic Levitation Kit","Generates triple-frequency ultrasonic waves to trap and levitate particles in the vacuum chamber.","electrical","actuator",1,45.00,45.00,"https://www.adafruit.com/"
"Ionic Steering Coils","Custom Ionic Deflection Assembly","Electromagnetic coils for precise spatial positioning of ionized particles.","electrical","actuator",1,35.00,35.00,"https://www.mouser.com/"
"EMC Shielding Box","Mu-Metal Magnetic Shielding","Redundant electromagnetic shielding to protect sensitive interferometry from induction heater noise.","mechanical","enclosure",1,60.00,60.00,"https://www.mcmaster.com/"
"Solenoid MOSFET Driver","Solenoid MOSFET Driver","Logic level MOSFET to drive inductive solenoid load","electrical","module",1,0.00,0.00,""
"Micro Vacuum Pump","12V DC Micro Vacuum Pump 5L/min","Maintains low-pressure environment for particle levitation and transmutation.","electrical","actuator",1,18.50,18.50,"https://www.amazon.com/s?k=12V+DC+Micro+Vacuum+Pump"
"Vacuum Pressure Sensor","MPX5100DP Pressure Sensor","Monitors the internal vacuum level for feedback-controlled throttling.","electrical","sensor",1,12.00,12.00,"https://www.digikey.com/en/products/detail/nxp-usa-inc/MPX5100DP/464055"
"Vacuum Interface Port","KF16 Flange to Hose Adapter","Hermetic seal interface for the vacuum pump and pressure sensor.","mechanical","mechanism",1,15.00,15.00,"https://www.mcmaster.com/vacuum-flanges/"
"Isotropic Field Generator Core","Custom 1689-turn AWG22 Toroidal Copper Tunnel","A complex hollow copper tunnel with interlapped turns designed to generate eddy currents for secondary flux input.","electrical","actuator",1,85.00,85.00,"https://www.amazon.com/s?k=22+awg+magnet+wire+copper"
"Geomagnetic Hall Sensor","SS49E Linear Hall Effect Sensor","Monitors the local flux within the ESA chamber for resonance tuning.","electrical","sensor",2,2.00,4.00,"https://www.amazon.com/s?k=SS49E+Hall+sensor"
"I2C Logic Level Shifter (3.3V to 5V)","I2C Logic Level Shifter (3.3V to 5V)","","electrical","module",1,0.00,0.00,""
"SPI Logic Level Shifter (3.3V to 5V)","SPI Logic Level Shifter (3.3V to 5V)","","electrical","module",1,0.00,0.00,""
"Miniature Particle Accelerator","Pelletron-style Miniature Electrostatic Accelerator","Generates high-velocity ions to overcome the Coulomb barrier for trace element transmutation.","electrical","module",1,450.00,450.00,"https://www.google.com/search?q=miniature+electrostatic+particle+accelerator+source"
"High-Density Radiation Shielding","Cast Lead Shielding Bricks and Sheets","99.9% pure lead shielding to block X-rays and gamma radiation emitted during synthesis.","mechanical","enclosure",1,120.00,120.00,"https://www.google.com/search?q=lead+radiation+shielding+bricks"
"Neutron Moderator Liner","5% Borated Polyethylene Sheet","Captures thermal neutrons to prevent activation of external components.","mechanical","enclosure",1,85.00,85.00,"https://www.google.com/search?q=borated+polyethylene+neutron+shielding"
"Accelerator Structural Mount","Custom 3D Printed PETG High-Temp Mount","Secures the accelerator tube within the resonance chamber.","mechanical","3d_printed",1,12.00,12.00,"https://www.google.com/search?q=custom+PETG+structural+mount"
"ArcSync Reactor","Phase-Locked Plasma Synchronization Module","Synchronizes high-frequency plasma pulses from the accelerator with the reactor cycle.","electrical","module",1,145.00,145.00,"https://www.amazon.com/s?k=plasma+synchronization+module"
"Coulombus Barrier Chamber","High-Density Fusion Synthesis Vessel","A reinforced vessel designed to contain high-density plasma for barrier breach experiments.","mechanical","mechanism",1,210.00,210.00,"https://www.amazon.com/s?k=high+density+fusion+chamber"
"SiC H-Bridge Driver","Cree/Wolfspeed Silicon Carbide MOSFET Power Module","High-frequency SiC MOSFET bridge for high-current 17Hz resonance cycles.","electrical","module",1,145.00,145.00,"https://www.digikey.com/en/products/filter/power-driver-modules/722"
"Resonance Capacitor Bank","1000uF 400V Low-ESR Pulse Capacitors","Massive capacitor bank to store and recirculate iterative magnetic flux energy.","electrical","module",1,65.00,65.00,"https://www.mouser.com/c/capacitors/aluminum-electrolytic-capacitors/aluminum-electrolytic-capacitors-snap-in/"
"Thermal Insulation Standoffs","Alumina Ceramic Threaded Standoffs M3","Heat-resistant standoffs to isolate the field core from the chassis during resonance.","mechanical","misc",8,22.00,176.00,"https://www.mcmaster.com/ceramic-standoffs/"
"Neural Matrix Controller","Jetson Orin Nano Developer Kit","High-speed neural processor for real-time plasma stability and 432Hz phase-locking.","electrical","mcu",1,499.00,499.00,"https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/"
"VIA High-Power Coil Drivers","Apex Microtechnology PA107DP","Ultra-high power operational amplifiers for driving the toroidal magnetic bias coils.","electrical","module",4,185.00,740.00,"https://www.digikey.com/en/products/detail/apex-microtechnology/PA107DP/1161118"
"Toroidal Flux Sensors","Honeywell CSNP661 Closed Loop Hall Effect","Monitors magnetic flux density within the toroidal chamber for real-time feedback.","electrical","sensor",3,45.00,135.00,"https://www.mouser.com/ProductDetail/Honeywell/CSNP661"
"LN2 Cryogenic Jacket","Custom Liquid Nitrogen Cooling Loop","Vacuum-jacketed liquid nitrogen loop to maintain superconducting temperatures.","mechanical","mechanism",1,350.00,350.00,"https://www.mcmaster.com/cryogenic-tubing/"
"High-Strength Alloy Reactor Chassis","Inconel 718 Spherical Containment Vessel","A high-strength refractory alloy chassis designed to contain high-frequency resonance plasma.","mechanical","enclosure",1,1200.00,1200.00,"https://www.google.com/search?q=inconel+718+spherical+vacuum+chamber"
"CAN Transceiver ESP32","CAN Transceiver ESP32","3.3V CAN Transceiver for Main Controller","electrical","module",1,0.00,0.00,""
"Metric Modulator Module","Agilent/Keysight 33500B Series Function Generator","Generates the precise 432Hz harmonic signal required for local spacetime metric compression.","electrical","module",1,1200.00,1200.00,"https://www.keysight.com/us/en/products/function-generators/33500b-series-waveform-generators.html"
"Degenerate Stabilization Coils","High-Frequency Litz Wire Coil Assembly","Maintains the shared quantum matrix state during the transition to degenerate matter.","electrical","actuator",4,180.00,720.00,"https://www.mouser.com/c/?q=litz%20wire%20coils"
"Precision 432Hz Oscillator","SiTime Programmable Oscillator","Ultra-stable master clock for synchronizing the reactor pulse with the target harmonic.","electrical","sensor",1,12.00,12.00,"https://www.digikey.com/en/products/filter/oscillators/172"
"Quantum State Interferometer","Thorlabs Laser Interferometer Kit","Monitors the collapse of electron shells in real-time for neural feedback.","electrical","sensor",1,850.00,850.00,"https://www.thorlabs.com/"
"High-Current Deuterium Ion Source","RF-Driven Plasma Ion Source 10mA","High-flux ion generator for deep Coulomb barrier penetration.","electrical","module",1,850.00,850.00,"https://www.google.com/search?q=RF+driven+plasma+ion+source+10mA"
"Isotopic Feedstock Injector","Precision Piezoelectric Powder Injector","Directly feeds specific elemental isotopes into the ArcSync plasma stream.","electrical","actuator",1,275.00,275.00,"https://www.google.com/search?q=piezoelectric+powder+injector+scientific"
"Atomic Synchronization Module","Symmetricom SA.45s CSAC Chip Scale Atomic Clock","Provides the 10MHz reference frequency required for stable 432Hz metric compression without drift.","electrical","sensor",1,1500.00,1500.00,"https://www.microsemi.com/product-directory/embedded-clocks-oscillators/3596-chip-scale-atomic-clock-csac"
"Resonance Power Stage","GaN-based 500W RF Power Amplifier Module","Drives the stabilization coils with sufficient current to simulate neutron star pressures.","electrical","power",1,450.00,450.00,"https://www.pasternack.com/rf-amplifiers-category.aspx"
"Metric Phase Controller","ADF4351 Wideband Frequency Synthesizer","Synthesizes the exact 432Hz harmonic from the atomic clock reference.","electrical","module",1,25.00,25.00,"https://www.analog.com/en/products/adf4351.html"
"GeV Pulse Multiplier","Giga-Electronvolt Cockcroft-Walton Pulse Stack","A high-density voltage multiplier designed for giga-electronvolt nucleosynthesis pulses.","electrical","module",1,4500.00,4500.00,"https://www.google.com/search?q=GeV+pulse+multiplier+stack"
"Cf-252 Source Pellet","Californium-252 Isotopic Source","Neutron-rich transuranic feedstock for nucleosynthesis experiments.","electrical","other",1,25000.00,25000.00,"https://www.google.com/search?q=Californium-252+neutron+source"
"Gamma/Neutron Flux Monitor","LND 712 Geiger-Muller Tube and Driver","","electrical","sensor",2,120.00,240.00,"https://www.google.com/search?q=LND+712+geiger+muller+sensor"
"Radiation Shielded Viewport","High-Lead Content Observation Glass","Provides safe visual monitoring of the plasma chamber while blocking gamma radiation.","mechanical","enclosure",1,450.00,450.00,"https://www.google.com/search?q=lead+glass+radiation+shielding+window"
